data,score,city,comment,nick
2018-08-20,1.5,郑州,不是期待中的,CvR499204723
2018-08-20,3.5,潜江,感觉就是盗墓笔记,忍者猫咪
2018-08-20,5,鞍山,很好看的电影，环境好。,feng9896
2018-08-20,5,烟台,很好看，是很多人的回忆,晶g610
2018-08-20,5,苏州,很好啊，怀念～,大兰Lani
2018-08-20,1,台州,简直玷污我对爱情公寓的忠诚,FeIIow
2018-08-20,4.5,杭州,爱情公寓我笑了很多次所以它还是爱情公寓,aFe500853157
2018-08-20,0.5,惠州,简直烂的像坨屎………,grW185294783
2018-08-20,5,菏泽,欺骗感情的烂片,sunshinekexin
2018-08-20,1,景德镇,狗血剧情，，,xip141186865
2018-08-20,5,广州,我觉得OK，是他们,Yyy耶，
2018-08-20,5,绵阳,回忆，很好笑,安愁
2018-08-20,2,大同,失望😞థ౪థ,ANB711016338
2018-08-20,4,扬州,还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行,菡娜娜娜
2018-08-20,1,上海,没看完，看了几分钟而已,zyq91225
2018-08-20,5,北京,"No matter how others play, but are paid, so. Experience the hard work of others. ",虹野梦306
2018-08-20,0,石家庄,总体来说，还可以，有爱情公寓里的无厘头。喜欢,YFG761881412
2018-08-20,3.5,沈阳,还好吧😊😬😆,yhy0107
2018-08-20,5,广州,青春回忆！谢谢导演又让我回忆美好的青春,香草布丁sa
2018-08-20,4,如皋,这是青春的回忆,七秒的记忆？
2018-08-20,3,乌鲁木齐,挺热闹的，喜剧片,云梦飞扬888
2018-08-20,3.5,遵化,笑点有 不过不是很有意思,故罔。
2018-08-20,5,鞍山,特别好看😍😍😍😍,CzF794047205
2018-08-20,4,南京,特效比较多，但还是爱情公寓的铁杆粉,茜茜柚
2018-08-20,0.5,常德,真是超尴尬的剧情,張不完美先森
2018-08-20,0.5,大庆,"不是爱情公寓里的演员演的作品都叫爱情公寓！
此片除了演员是爱情公寓的部分演员，其他的和爱情公寓一点关系没有！",bpR152909685
2018-08-20,5,佛山,我只能说，爱情公寓永远不会让我失望,Harveyher
2018-08-20,4.5,阳泉,还不错，没有预想的那么好看,园园900223
2018-08-20,3.5,杭州,爱情公寓看个情怀吧没有延续电视剧情，结尾爱5全是个惊喜,vi.anw
2018-08-20,5,沈阳,好看好看好看,翱翔在天空中的鹏
2018-08-20,5,宜兴,好看哟～厉害了哥～,航海路28号
2018-08-20,5,慈溪,虽然主线剧情和爱情公寓毫无关系  但是还可以,Mr句号
2018-08-20,0.5,黄骅,失望，就是失望,QSv141292264
2018-08-20,2.5,重庆,一般吧，不是很满意,丶口香糖.
2018-08-20,3.5,靖江,盗墓公寓，爱情公墓,MSg702104444
2018-08-20,2.5,葫芦岛,多少有点失望 可能期待太高了 有点落差 不过电影还可以吧,超级酷的小朋友耶
2018-08-20,5,商城县,好看，期待爱5,荣耀光芒
2018-08-20,5,昆山,好看 好看好看,Vru214814117
2018-08-20,2,汕头,看的是情怀，毕竟电影与情景喜剧是有差别的。爱情公寓本身就是一部段子剧，但是电影要的是两个小时的连贯性情节，这就要求编剧的水平了，韦正是个段子手，但不是一个好编剧,风沙扬云
2018-08-20,5,襄阳,帮别人买的。,杨海翔
2018-08-20,2.5,郑州,一般般。。。,GEM久
2018-08-20,5,长春,不多说，挺推荐的，不在爱情公寓的爱情公寓,dgh980727
2018-08-20,2.5,烟台,令人太失望了,A新智
2018-08-20,5,抚顺,很有意思，爱5等你,当你184
2018-08-20,0.5,清远,烂片，看到的我想睡觉,fDE783865797
2018-08-20,5,成都,爱情公寓 就是青春啊❤️❤️❤️,SherlockJay
2018-08-20,5,东阳,期待爱五的来临,ueU437576375
2018-08-20,5,台州,太好看了，喜欢喜欢,aDK237671040
2018-08-20,3,兖州,一般情况还算可以吧,EaU127088425
2018-08-20,2.5,台州,...没话讲,zeq914429229
2018-08-20,3.5,重庆,其实觉得还是挺好看的😳,Movefeelin
2018-08-20,1,驻马店,没法说  、、、、,M美每团
2018-08-20,5,中山,我觉得后面的彩蛋激动人心 剧情很好,覃t田姑
2018-08-20,3,锦州,失望 不是我认识的爱情公寓,UHF691992692
2018-08-20,5,无锡,开头觉得走错了片场，编剧脑洞真大啊，特效不错,寂寞悲伤的天使
2018-08-20,5,东莞,好看！期待爱5,杨young.wong
2018-08-20,5,上海,搞笑，值得一看,ZOg487020467
2018-08-20,5,衢州,好看，刚开始我都还以为我走错场了，后面看到起曾小贤那个笑脸，知道没走错，不过挺搞笑的,蕾蕾smeil
2018-08-20,5,宜宾,好哈哈哈呵呵呵,luO225023131
2018-08-19,5,东莞,久别重逢  熟悉的感觉,QIS456816265
2018-08-19,2.5,六盘水,有点烂。而且剧情很乱。根本不是期待的那样,qsG385593497
2018-08-19,5,盐城,你是我的小小狗,mko968931695
2018-08-19,4.5,运城,前面一个多小时确实烂，动作片不像动作片，特效片不像特效片，好好的盗墓笔记三人组给强行转换成喜剧风格，可是最后你的月亮我的心让我觉得我看的还是爱情公寓！如果有爱5tv剧，我还是一样期待着,plH141118719
2018-08-19,1.5,北京,"一分给名字 爱情公寓
二分给情怀
三分给胡一菲的身材
不能再高了 迄今为止唯一一部想三分钟只内离场的片子",VANcJh
2018-08-19,3,赤峰,挂羊头卖狗肉 消费情怀,YjQ979467369
2018-08-19,3.5,上海,小年轻可以去看看,nCp526043005
